Price	Open	High	Low	Close	Volume
Ticker	ABBV	ABBV	ABBV	ABBV	ABBV
Date					
2024-04-11	163.25307129790835	163.41709448760045	161.35231033135352	161.6321258544922	3307000
2024-04-12	160.15185631917583	160.15185631917583	155.8181665344326	158.03857421875	7029400
2024-04-15	160.22003611675896	160.39532442374605	157.27896402193255	157.44451904296875	5433700
2024-04-16	157.94117185889718	159.46041136820526	157.8437944270037	158.29176330566406	4881300
2024-04-17	159.85968473411052	160.43427548246086	158.96373211326363	159.9570770263672	4792200
2024-04-18	160.6485157567701	163.0636928693859	160.13235447474221	160.35635375976562	4480100
2024-04-19	160.7069535437209	162.2456596053391	158.98321104570888	162.0606231689453	5532400
2024-04-22	163.29741999851763	165.1575027980992	162.55728910872617	163.50193786621094	5580700
2024-04-23	164.18364307643313	165.91711890895428	163.82331833843037	165.1088104248047	4084100
2024-04-24	164.11547426106964	164.69005013544873	162.3819984929577	163.41429138183594	4074700
2024-04-25	163.27794210381802	164.86532934972007	161.24257115307518	162.9176025390625	5503700
2024-04-26	162.722851249693	163.0831908552378	153.52957728514417	155.44808959960938	10721700
2024-04-29	155.41886717743836	157.32764611170472	154.41578899493413	157.29843139648438	6219000
2024-04-30	157.05497190708735	158.7884477604445	155.51626578310038	158.38916015625	5484800
2024-05-01	157.8535345865219	159.41172216444897	156.92836721336806	157.4932098388672	5176400
2024-05-02	157.93143425950348	158.19438155239007	153.9872843061124	156.6069793701172	5904300
2024-05-03	156.94784336838714	159.95707798136803	156.53882248642662	159.50909423828125	5849900
2024-05-06	160.11288966707463	160.32714080990323	156.79201181320795	158.47679138183594	5834600
2024-05-07	159.0903407231737	159.70387947861832	157.65876020045474	158.301513671875	5301700
2024-05-08	157.90220968284493	158.64234051069715	155.69153562363456	156.25637817382812	5906700
2024-05-09	156.60697494845115	157.1036548054333	155.83762938132767	156.2076873779297	3570000
2024-05-10	156.5096054662216	157.22052164154465	156.1590140211348	156.54855346679688	3509500
2024-05-13	157.064697265625	158.3209894476177	156.5972469667328	157.064697265625	3505900
2024-05-14	157.42502183703428	158.0093458550654	155.54547249832694	157.36659240722656	4025000
2024-05-15	158.0677804361378	160.12263299121082	157.63927812361416	159.50909423828125	5261300
2024-05-16	159.1779878016134	160.61930163620008	157.94117698262147	160.05447387695312	4642000
2024-05-17	161.06728008251093	162.1385358526377	160.19080889602714	162.0703582763672	5152200
2024-05-20	161.67107124441193	162.0703588382961	160.11289858970744	160.25897216796875	3058700
2024-05-21	161.04779909542034	161.37892397253836	158.25281566018404	158.67156982421875	3645200
2024-05-22	157.34714894488332	157.70747372159857	155.01960067589357	155.43836975097656	6904900
2024-05-23	154.87350573825458	155.85710248887233	153.63669497620737	154.12362670898438	5672900
2024-05-24	154.22101199195492	154.63003284570505	152.27328514934877	152.95498657226562	3689900
2024-05-28	152.26356465143195	152.26356465143195	149.92628332803974	151.2799530029297	5533500
2024-05-29	150.84171602388088	152.29277797984662	149.66333465749588	150.74432373046875	4254500
2024-05-30	150.60797721618636	152.34145297549756	149.56595104760078	152.22459411621094	4311100
2024-05-31	152.55571205610823	157.4152962937979	152.11747645102085	157.0257568359375	15664400
2024-06-03	155.81816789373275	158.9247949937106	154.67874932420725	156.00320434570312	4467800
2024-06-04	156.00319089422354	158.55470841828398	155.59417002196798	157.9022216796875	4215500
2024-06-05	158.64236040971537	161.64186181457887	157.92171092009053	161.11598205566406	5100500
2024-06-06	161.1646680947941	164.46606460418522	160.05446435340534	164.16416931152344	5186700
2024-06-07	164.58292249495165	165.8878959471562	163.4045411860358	164.991943359375	3781700
2024-06-10	164.58292877611825	166.28718987291236	163.30716998982874	166.00477600097656	4247500
2024-06-11	165.80026474499942	166.1800709244655	163.04422919247256	163.31690979003906	3790200
2024-06-12	163.49221699026353	164.13495563756118	160.71669993792125	161.74899291992188	4725600
2024-06-13	161.66134960400072	162.5378208566575	160.6874860521694	162.2067108154297	3690800
2024-06-14	162.1190687834523	164.81667501811665	161.66135171930418	164.18365478515625	4377600
2024-06-17	163.99860364285988	165.94633059757305	162.98579216479905	165.24514770507812	4076000
2024-06-18	165.98530343369956	168.48812499373327	165.430194085456	166.88125610351562	4250900
2024-06-20	166.70593661792475	168.29333878118874	165.57626632048698	167.63111877441406	5847500
2024-06-21	168.18623748499238	168.41022194785262	165.15752115335388	165.93661499023438	12308100
2024-06-24	166.65726835284147	168.87767598191644	166.23849931351018	168.22518920898438	6249900
2024-06-25	167.60190728293952	168.87766603697608	166.16057866404861	166.2871856689453	5712700
2024-06-26	165.83920411457206	167.84537534934657	165.70286382288614	166.67672729492188	5576100
2024-06-27	166.8130705486052	167.07601785151746	163.36560033477414	164.5731964111328	5382000
2024-06-28	165.5470537045258	167.32922560649197	164.63161968122304	167.0370635986328	24463400
2024-07-01	166.79361563423583	169.33540011341154	165.10882098077406	165.91712951660156	5194500
2024-07-02	164.2226044726533	164.2226044726533	161.12571085860307	161.6223907470703	5965500
2024-07-03	161.7489778097613	162.7325894105188	159.24615645550728	159.5577850341797	3527600
2024-07-05	160.41478876820773	162.93709153881343	159.35328117347086	162.878662109375	5978300
2024-07-08	162.18722169788273	163.3363883617759	161.29126905585267	162.16775512695312	3500200
2024-07-09	162.6546824255321	164.12521092924973	160.55113374446958	163.6577606201172	4224600
2024-07-10	163.07343891678374	164.0473024096997	161.76846540267096	163.7454071044922	3887800
2024-07-11	163.14161361590826	165.89764903543536	162.9760586082306	165.46914672851562	3689500
2024-07-12	166.17032592635937	167.14418938044813	165.4593949056911	165.8294677734375	4133500
2024-07-15	166.0063873305975	167.44128107126608	164.54199550264093	165.14151000976562	2395100
2024-07-16	165.70170507200106	166.93021707580746	164.38472880659245	166.2913818359375	3829500
2024-07-17	166.59605644432546	172.7189712904187	166.59605644432546	172.25704956054688	6983200
2024-07-18	171.45114138313883	173.6428027156382	167.78526556755747	168.1980438232422	5957800
2024-07-19	170.68454153123687	170.86145505751117	168.27666100913973	169.35775756835938	4293600
2024-07-22	170.34058687409154	171.7263371738706	169.0432708529532	170.62559509277344	4066900
2024-07-23	170.34056800267237	171.58872540403542	169.8000197204168	170.17347717285156	2933800
2024-07-24	170.22262633562644	173.56418810337158	169.97692392607834	173.18089294433594	6117700
2024-07-25	173.95729783821395	182.91069382398365	168.84669095751806	179.03842163085938	9442200
2024-07-26	180.29642444901918	183.637986204197	178.97946313795075	181.97703552246094	6948800
2024-07-29	180.87628449099745	182.93036809206984	177.42662795904337	178.81239318847656	5458500
2024-07-30	180.43401819874038	184.4832041129324	179.4610462529431	183.56918334960938	6032200
2024-07-31	183.18589113602292	184.27681045376863	180.2964283486702	182.13429260253906	6473900
2024-08-01	184.54216893457286	187.68715675997515	183.55935930185433	186.44882202148438	6595500
2024-08-02	187.69699204992867	190.5766322651576	183.2547030094823	186.03604125976562	6303900
2024-08-05	184.22765874109393	186.0360248277329	179.89346475370013	181.19078063964844	6459300
2024-08-06	182.242377639163	184.59130698893247	179.93278406806232	182.517578125	4273200
2024-08-07	184.6699315250811	186.33088227159175	182.7829387528368	184.28663635253906	6351000
2024-08-08	183.70677970978213	187.43163671641904	183.70677970978213	187.126953125	5744600
2024-08-09	187.50041797874727	187.7264599921807	184.86649539721776	186.66502380371094	3206500
2024-08-12	186.81244886398213	187.2940309623248	184.47335723843796	186.9107208251953	4808300
2024-08-13	187.28419210715896	188.6404741332542	186.1244839952395	187.9426727294922	3477300
2024-08-14	187.71663179545823	190.02624033184944	187.19574391218433	189.6822509765625	4153400
2024-08-15	191.14665232312595	191.6380571432308	188.0016494772668	190.07537841796875	4719900
2024-08-16	190.54714232392956	190.91077710048373	188.96481816612018	190.56678771972656	3674900
2024-08-19	190.07538231112855	193.79040162749428	190.0262538252998	193.48573303222656	4309300
2024-08-20	193.7314332488834	194.08524532245016	190.79284199556452	192.77810668945312	3631800
2024-08-21	193.06313154051836	193.94765423377405	192.30636390514212	193.15158081054688	4250400
2024-08-22	193.62332129865325	194.1442092068458	191.99186869761795	192.99432373046875	3676700
2024-08-23	193.8592068349487	194.57665369291385	192.85673677549352	194.154052734375	4720300
2024-08-26	194.16387657573804	194.56683214077742	192.69949976088998	194.0459442138672	4182300
2024-08-27	194.58648614265198	194.89115473180274	191.82477845549695	192.55206298828125	2504500
2024-08-28	192.1589477222844	192.85673417849534	190.69455593929408	192.04100036621094	3910200
2024-08-29	192.63067912636978	193.0631177442542	190.51764451209766	191.82476806640625	4538300
2024-08-30	191.893587919572	193.12210000612495	190.832151677212	192.93536376953125	3820800
2024-09-03	192.7682832853961	196.5127856356415	192.7289774980261	194.29164123535156	4872400
2024-09-04	195.2646118303527	196.44399539405163	193.0631278372826	193.62332153320312	4214300
2024-09-05	193.5741878856206	193.74126372017537	188.85669874610028	189.54466247558594	5902800
2024-09-06	190.14418229109623	191.39235473317837	189.51518472122137	190.07537841796875	4312600
2024-09-09	191.61840127737224	193.23020852552716	190.60610852376502	193.04347229003906	3606900
2024-09-10	192.74860996336585	196.04102805380887	189.59379961069942	195.923095703125	6333300
2024-09-11	194.28181242662754	194.28181242662754	190.0950485436837	191.24493408203125	4909300
2024-09-12	191.43166811664383	191.71669132164644	187.98201154135444	190.6847381591797	4165200
2024-09-13	190.52747060063797	191.24491741318	188.5127079113504	190.8714599609375	2718100
2024-09-16	192.45379019233624	192.78794186954576	191.11716848701332	192.36532592773438	3235700
2024-09-17	191.45132602585525	192.70932119920622	188.52255741881808	190.12452697753906	3534100
2024-09-18	189.81002724338782	192.21790781986397	188.48322825406183	189.623291015625	3236800
2024-09-19	190.1048592301439	190.82232105637155	188.66014287310838	190.29159545898438	3929300
2024-09-20	189.68225857207642	190.488169666913	188.82721899293236	190.14418029785156	11661200
2024-09-23	190.37021579345685	190.9599075497979	188.8960013990886	190.49798583984375	3178000
2024-09-24	189.63313115732683	191.85429070684765	188.29650934755284	190.18350219726562	4286500
2024-09-25	190.66507180430838	191.22528050225245	187.67733707139536	187.97216796875	5589300
2024-09-26	186.83212039928142	189.55449233137503	186.36036096997452	188.60116577148438	6215700
2024-09-27	189.28914203651166	192.75845885451793	186.99919378330756	191.4414825439453	4891900
2024-09-30	191.50045654548936	194.22282833983434	191.0286971400529	194.08523559570312	4550200
2024-10-01	194.25231426924685	195.54963015844513	193.04346264266454	193.57418823242188	3924600
2024-10-02	192.29653695467266	193.61349826759024	191.1073306968092	193.4365997314453	2946900
2024-10-03	193.48572150192993	193.66263502842074	191.3923472477655	192.0901336669922	3453800
2024-10-04	191.7461769487145	192.276887584054	189.73141408038737	190.95008850097656	4749700
2024-10-07	191.07785750447246	191.73633819503775	189.52501639977947	190.2817840576172	5033800
2024-10-08	190.9992162190395	191.64787416151168	188.94514773102884	189.69207763671875	4419000
2024-10-09	189.53484360041844	191.53976865199218	188.65030593339793	191.4021759033203	4478900
2024-10-10	191.1957696856445	191.47097016566036	189.95743500975166	191.00904846191406	3562500
2024-10-11	191.6478800506285	191.88375976327154	190.2522921595816	190.851806640625	2973000
2024-10-14	190.90094721193574	192.96483842928234	190.3309158291015	192.2866973876953	3623900
2024-10-15	192.9108103136772	194.4166145673319	189.43360649625566	190.067626953125	6553500
2024-10-16	188.67079358549708	189.25527811721705	186.96686079222815	188.6807098388672	5576000
2024-10-17	188.7599469971591	189.8298593282705	186.6993918960257	186.80836486816406	4419000
2024-10-18	187.20463032563146	187.91790524485162	186.40219982056888	187.0956573486328	5607900
2024-10-21	186.94705844424146	187.610797421461	184.15339591815575	184.7973175048828	4496500
2024-10-22	184.5793894235603	187.33341720967965	184.4902187231359	186.99658203125	4210400
2024-10-23	186.93714853742355	187.50183081383148	185.74836204359264	186.12481689453125	4266700
2024-10-24	186.66966152910632	188.69061211764816	186.41209591600352	187.87826538085938	6741800
2024-10-25	187.90798343021103	188.10612710342863	185.42143754022553	186.0950927734375	4017400
2024-10-28	186.3328470161603	188.36369880234273	185.76817985471627	187.90798950195312	5383700
2024-10-29	188.710437994897	189.37417700624366	186.7588406276393	187.68014526367188	6131500
2024-10-30	189.82986397659477	200.45963424016438	186.78855205174403	199.61756896972656	10396400
2024-10-31	200.08317959859616	205.3832054717137	199.53831472401322	201.96542358398438	8829300
2024-11-01	202.46075387356254	202.81739132870817	200.42991723456342	201.64842224121094	4493900
2024-11-04	201.8861749874321	202.33198315352604	198.34953400127173	198.59719848632812	3531800
2024-11-05	198.61701294489177	200.52897548549961	196.4970055887627	199.79588317871094	5109300
2024-11-06	203.86748982973904	204.2241272910538	198.97365232758722	199.32037353515625	7194800
2024-11-07	200.06336009888102	200.429913801322	197.358868261493	198.63681030273438	4520200
2024-11-08	199.2807568109041	200.00393288171523	197.6164435947846	197.63626098632812	4596900
2024-11-11	176.9017992839943	176.9017992839943	171.08662677610175	172.8004608154297	20760300
2024-11-12	174.3656884089927	174.97990657501663	169.43221638804752	169.4916534423828	10557000
2024-11-13	170.06625135402996	171.0271907911672	168.06511802845915	168.7585906982422	8483500
2024-11-14	168.41184192819708	170.01670287878667	167.01501067018918	168.04530334472656	8442500
2024-11-15	168.04530627711264	168.04530627711264	163.18117230629227	163.4486541748047	11265400
2024-11-18	164.07275518117842	165.1823022988918	163.26042357045375	164.72659301757812	8341400
2024-11-19	163.72604240819098	165.53894825712155	162.2796751608302	165.01390075683594	5246000
2024-11-20	165.35071413484215	166.34137203734616	164.1024755032935	166.19276428222656	7135600
2024-11-21	167.01502126659548	170.8488778374815	165.36062429310857	170.1256866455078	6847700
2024-11-22	172.7113029288976	177.18908108387652	171.87915388094524	175.2969207763672	11328600
2024-11-25	175.36626412456187	178.50664782557007	175.09878226140324	175.4058837890625	12465000
2024-11-26	175.43560169679145	179.95299924589642	175.01952719792544	179.44776916503906	6947500
2024-11-27	179.44778058091694	182.51882627451081	179.20011609324777	181.36965942382812	5271500
2024-11-29	181.42909890070968	181.82535603976612	180.79507840847478	181.22105407714844	2710700
2024-12-02	180.57712952562167	180.9932040497717	177.1890811579081	180.0718994140625	3936600
2024-12-03	180.57712481165248	181.79562982315704	179.78459545080975	179.80441284179688	4107600
2024-12-04	178.41750250526576	178.76422371736794	174.26664328398962	174.81150817871094	6125500
2024-12-05	173.34531511978446	175.06906530773358	171.90886418794685	174.52420043945312	5444200
2024-12-06	174.3557941827632	175.0888864865145	172.53298723511378	174.5440216064453	4839600
2024-12-09	173.9496155738579	176.46589508384346	172.7509279900079	174.92047119140625	4394500
2024-12-10	173.89017812903032	175.26719199074134	172.20606274018255	174.02886962890625	4089600
